"","id_i","druhK_opraveno","druhO_opraveno","pocet"
"44784","19-8-21-11-14-91","nic","nic",NA
"44787","19-8-21-11-17-94","nic","nic",NA
"44788","19-8-21-11-17-95","nic","nic",NA
"44869","23-8-18-15-23-L4","nic","nic",NA
"44870","23-8-18-15-22-L5","nic","nic",NA
"44883","23-8-20-14-44-74","nic","nic",NA
"44901","19-8-18-17-36-88","nic","nic",NA
"44912","19-8-21-13-30-71","nic","nic",NA
"44915","22-8-18-8-37-45","nic","nic",NA
"44917","23-8-20-15-31-94","nic","nic",NA
"44928","19-8-21-13-40-83","nic","nic",NA
"44933","24-8-18-16-12-64","nic","nic",NA
"44937","19-8-21-13-44-89","nic","nic",NA
"44943","19-8-21-13-48-98","nic","nic",NA
"44955","22-8-18-9-27-28","nic","nic",NA
"44958","24-8-18-17-17-84","nic","nic",NA
"45048","19-8-21-15-57-33","nic","nic",NA
"45059","23-8-14-8-45-4","nic","nic",NA
"45081","19-8-22-13-27-L1","nic","nic",NA
"45117","23-8-14-16-54-85","nic","nic",NA
"45121","19-8-21-17-38-72","nic","nic",NA
"45175","19-8-22-9-10-14","nic","nic",NA
"45180","19-8-22-9-19-21","nic","nic",NA
"45182","19-8-22-9-21-23","nic","nic",NA
"45186","19-8-22-9-23-25","nic","nic",NA
"45187","19-8-22-9-25-27","nic","nic",NA
"45189","19-8-22-9-26-28","nic","nic",NA
"45193","19-8-22-9-29-34","nic","nic",NA
"45197","19-8-22-9-33-38","nic","nic",NA
"45200","23-8-15-7-24-12","nic","nic",NA
"45201","23-8-15-7-22-11","nic","nic",NA
"45241","19-8-22-10-34-78","nic","nic",NA
"45250","24-8-17-6-44-16","nic","nic",NA
"45262","19-8-22-10-47-94","nic","nic",NA
"45266","23-8-19-13-56-89","nic","nic",NA
"45267","19-8-22-11-41-2","nic","nic",NA
"45269","23-8-17-9-43-26","nic","nic",NA
"45334","19-8-22-12-36-38","nic","nic",NA
"45348","19-8-17-7-45-11","nic","nic",NA
"45352","23-8-18-18-22-82","nic","nic",NA
"45360","19-8-21-9-56-67","nic","nic",NA
"45366","19-8-17-8-15-29","nic","nic",NA
"45369","23-8-18-18-54-L10","nic","nic",NA
"45370","23-8-18-18-56-L5","nic","nic",NA
"45376","19-8-21-10-22-85","nic","nic",NA
"45381","19-8-22-17-58-69","nic","nic",NA
"45383","23-8-18-19-14-28","nic","nic",NA
"45384","23-8-18-19-16-32","nic","nic",NA
"45392","19-8-21-10-39-98","nic","nic",NA
"45395","24-8-17-10-44-64","nic","nic",NA
"45397","23-8-19-7-34-L3","nic","nic",NA
"45398","23-8-15-11-42-52","nic","nic",NA
"45401","23-8-15-11-46-55","nic","nic",NA
"45403","23-8-19-7-43-95","nic","nic",NA
